shared_buffers,work_mem,random_page_cost,effective_io_concurrency,max_wal_size,max_parallel_workers_per_gather,max_parallel_workers,max_worker_processes,checkpoint_timeout,checkpoint_completion_target,cost,time,status,seed
6144,12288,4.0,1,20,16,8,4,10,0.9,-808.7331256533624,0.1,SUCCESS,1
7680,6990,5.0,100,16,8,4,4,5,0.9,-806.8266076338532,0.1,SUCCESS,1
5120,15360,2.0,1,64,2,4,10,10,0.9,-900.5193516387143,0.1,SUCCESS,1
7680,25600,7.5,1,16,2,8,10,10,0.9,-889.1463355293065,0.1,SUCCESS,1
4608,7168,5.0,1,24,4,4,10,5,0.9,-784.180463602009,0.1,SUCCESS,1
4096,11264,3.0,1,8,1,8,10,10,0.9,-785.0072748024107,0.1,SUCCESS,1
7680,19456,4.0,100,16,1,4,10,10,0.9,-885.7921761524698,0.1,SUCCESS,1
5632,13312,2.0,100,64,1,8,10,10,0.9,-596.5228824680428,0.1,SUCCESS,1
6144,13312,6.0,100,64,16,8,4,10,0.9,-895.0502724857929,0.1,SUCCESS,1
7168,23552,5.5,100,32,16,8,4,10,0.9,-899.8532705730557,0.1,SUCCESS,1
6656,13312,6.5,1,32,2,8,10,10,0.9,-900.856818298085,0.1,SUCCESS,1
5632,14336,3.0,100,24,1,8,4,10,0.9,-889.0228848642573,0.1,SUCCESS,1
2048,15360,6.0,300,64,4,8,10,10,0.9,-527.1297089580776,0.1,SUCCESS,1
1792,15360,2.0,1,4,4,4,4,10,0.9,-418.4728041493641,0.1,SUCCESS,1
5632,25600,3.5,100,24,2,8,4,10,0.9,-879.8651840844815,0.1,SUCCESS,1
5632,13312,2.0,1,64,1,8,4,10,0.9,-893.0960695872893,0.1,SUCCESS,1
6656,14336,3.0,1,16,16,8,4,10,0.9,-868.7079506578136,0.1,SUCCESS,1
8192,21504,6.0,300,24,16,8,10,5,0.9,-0.0,0.1,SUCCESS,1
5120,12288,5.0,1,32,16,4,4,5,0.9,-782.5163213735146,0.1,SUCCESS,1
7680,6144,2.0,1,64,16,4,10,10,0.9,-904.0002936692334,0.1,SUCCESS,1
1536,30720,0.5,400,8,4,8,10,10,0.9,-425.9471445433264,0.1,SUCCESS,1
5632,13312,5.0,100,64,1,8,10,10,0.9,-882.7092402418587,0.1,SUCCESS,1
7680,12288,7.5,300,32,2,4,4,5,0.9,-778.8387124485039,0.1,SUCCESS,1
6656,15360,1.1,1,20,16,4,10,10,0.9,-904.7841570795332,0.1,SUCCESS,1
7168,21504,1.5,300,24,16,8,4,10,0.9,-897.1781420564488,0.1,SUCCESS,1
5632,13312,4.0,100,8,2,8,10,10,0.9,-895.969897966948,0.1,SUCCESS,1
4608,27648,1.5,300,16,16,4,4,5,0.9,-784.8020548102447,0.1,SUCCESS,1
